run_name,distribution,supervision,wall_s,total_steps,final_train_loss,final_val_loss,best_val_loss,best_step,best_path,val_loss_sigma_1,val_loss_sigma_10,val_loss_sigma_100,val_loss_sigma_high,val_loss_sigma_low,val_loss_sigma_mid
D_1_cv,D_1,cv,11119.372494678944,200000,7.4060239967366215e-06,1.2037351552862674e-05,1.2037351552862674e-05,200000,/home/senemi/neural-algorithmic-decision-making/bayesian-stopping/v3/checkpoints/D_1_cv/best.pt,1.2037351552862674e-05,,,,,
D_1_act,D_1,act,5754.458841165528,100000,0.0003164030786138028,0.00021353365445975214,0.00021353365445975214,100000,/home/senemi/neural-algorithmic-decision-making/bayesian-stopping/v3/checkpoints/D_1_act/best.pt,0.00021353365445975214,,,,,
D_2_cv,D_2,cv,11786.28280416876,200000,4.626031113730278e-06,5.8059190450876486e-06,5.8059190450876486e-06,200000,/home/senemi/neural-algorithmic-decision-making/bayesian-stopping/v3/checkpoints/D_2_cv/best.pt,,5.8059190450876486e-06,,,,
D_2_act,D_2,act,5358.442582925782,100000,0.00038943852996453643,0.00024101691087707877,0.00024101691087707877,100000,/home/senemi/neural-algorithmic-decision-making/bayesian-stopping/v3/checkpoints/D_2_act/best.pt,,0.00024101691087707877,,,,
D_3_cv,D_3,cv,10704.570466725156,200000,0.001107468269765377,0.0012466328917071223,0.0012466328917071223,200000,/home/senemi/neural-algorithmic-decision-making/bayesian-stopping/v3/checkpoints/D_3_cv/best.pt,,,0.0012466328917071223,,,
D_3_act,D_3,act,5406.260071994737,100000,0.0004228726611472666,0.0005814508185721934,0.0005814508185721934,100000,/home/senemi/neural-algorithmic-decision-making/bayesian-stopping/v3/checkpoints/D_3_act/best.pt,,,0.0005814508185721934,,,
D_disc_cv,D_disc,cv,15144.153488831595,300000,0.0008508706232532859,0.0007676109089516103,0.0007675947854295373,297000,/home/senemi/neural-algorithmic-decision-making/bayesian-stopping/v3/checkpoints/D_disc_cv/best.pt,0.0002494744840078056,0.0005123321898281574,0.0015820672269910574,,,
D_disc_act,D_disc,act,7468.463286075741,150000,0.0009372205240651965,0.000698912946972996,0.000698912946972996,150000,/home/senemi/neural-algorithmic-decision-making/bayesian-stopping/v3/checkpoints/D_disc_act/best.pt,0.0003496739955153316,0.0005805376567877829,0.0011905796127393842,,,
D_logu_cv,D_logu,cv,16813.661682100967,300000,0.0005531806964427233,0.0006648434209637344,0.0006648434209637344,300000,/home/senemi/neural-algorithmic-decision-making/bayesian-stopping/v3/checkpoints/D_logu_cv/best.pt,,,,0.0008585103205405176,0.0007639715913683176,0.00035624884185381234
D_logu_act,D_logu,act,11235.656455986202,150000,0.0012666372349485755,0.0007442301721312106,0.0007442301721312106,150000,/home/senemi/neural-algorithmic-decision-making/bayesian-stopping/v3/checkpoints/D_logu_act/best.pt,,,,0.0010199819225817919,0.0006199046620167792,0.0005844146944582462
